ZIP,date_coe,STREET_NO,STREET_DIR,STREET,STREET_TYP,unit_no,Prop_type
97219,01/02/2006,11000,SW,BOONES FERRY,RD,NULL,Resid
97030,01/03/2006,21544,SE,ANKENY,ST,NULL,Resid
97209,01/03/2006,1255,NW,9,AVE,301,Resid
97211,01/03/2006,1801,NE,ALBERTA,ST,NULL,Comm
97213,01/03/2006,1125,NE,70TH,AVE,NULL,Resid
97202,01/04/2006,5806,SE,39TH,AVE,NULL,Resid
97206,01/04/2006,4148,SE,66TH,AVE,NULL,Resid
97209,01/04/2006,411,NW,FLANDERS,ST,412,Resid
97266,01/04/2006,10530,SE,HOLGATE,BLVD,NULL,Resid
97203,01/05/2006,4742,N,DEPAUW,ST,NULL,Resid
97206,01/05/2006,7945,SE,RHINE,ST,NULL,Resid
97210,01/05/2006,616,NW,WESTOVER,TER,NULL,Resid
97213,01/05/2006,107,NE,79TH,AVE,NULL,Resid
97216,01/05/2006,11807,SE,ALDER,ST,NULL,Resid
97232,01/05/2006,2306,NE,COUCH,ST,NULL,Resid
97202,01/06/2006,1703,SE,CLINTON,ST,NULL,Resid
97206,01/06/2006,4617,SE,48TH,AVE,NULL,Resid
97206,01/06/2006,6709,SE,72ND,AVE,NULL,Resid
97217,01/06/2006,4417,N,BORTHWICK,AVE,NULL,Resid
97218,01/06/2006,4705,NE,72ND,AVE,NULL,Resid
97219,01/06/2006,8313,SW,42ND,AVE,NULL,Resid
97230,01/06/2006,210,NE,165TH,AVE,NULL,Resid
97230,01/06/2006,16405,NE,Fargo,CT,NULL,Resid
97236,01/06/2006,12704,SE,POWELL,BLVD,NULL,Resid
97206,01/09/2006,6541,SE,WOODSTOCK,BLVD,NULL,Resid
97219,01/09/2006,7323,SW,32ND,AVE,NULL,Resid
97266,01/09/2006,8400,SE,DIVISION,ST,NULL,Comm
97024,01/10/2006,430,NULL,CEDAR,ST,NULL,Resid
97206,01/10/2006,7015,SE,MALL,ST,NULL,Resid
97219,01/10/2006,5156,SW,MULTNOMAH,BLVD,A-1,Resid
97221,01/10/2006,1500,SW,SKYLINE UNIT 8,BLVD,8,Resid
97230,01/10/2006,17809,NE,MARINE,DR,C-6,Resid
97203,01/11/2006,10142,N,BUCHANAN,AVE,NULL,Resid
97217,01/11/2006,1749,N,Jantzen,AVE,NULL,Resid
97220,01/11/2006,4520,NE,99TH,AVE,NULL,Resid
97080,01/12/2006,4520,SE,CHASE,RD,NULL,Resid
97266,01/12/2006,4937,SE,115TH,AVE,NULL,Resid
97030,01/13/2006,236,NW,ELEVEN LOT 77,NULL,77,Resid
97203,01/13/2006,7070,N,WELLESLEY,AVE,NULL,Resid
97211,01/13/2006,4420,NE,RODNEY,AVE,NULL,Resid
97214,01/13/2006,3750,SE,MILL,ST,NULL,Resid
97218,01/13/2006,5236,NE,49TH,AVE,NULL,Resid
97230,01/13/2006,1024,NE,176TH,AVE,NULL,Resid
97236,01/14/2006,16555,SE,TIBBETTS,ST,NULL,Resid
97203,01/15/2006,8014,N,Mohawk,AVE,NULL,Resid
97080,01/17/2006,3253,SE,24TH,TER,NULL,Resid
97080,01/17/2006,116,SE,ELLIOTT,AVE,NULL,Resid
97080,01/17/2006,2905,SE,PALMQUIST,RD,4,Resid
97205,01/17/2006,1132,SW,19TH,AVE,411,Resid
97206,01/17/2006,3335,SE,68TH,AVE,NULL,Resid
97080,01/18/2006,1419,SE,2ND,ST,NULL,Resid
97209,01/18/2006,420,NW,11TH,AVE,820,Resid
97211,01/19/2006,6137,NE,15TH,AVE,NULL,Resid
97216,01/19/2006,10110,SE,LINCOLN,ST,NULL,Resid
97217,01/19/2006,1503,N,Hayden Island,DR,25,Resid
97236,01/19/2006,16000,SE,POWELL,BLVD,65,Resid
97035,01/20/2006,26,NULL,PARTRIDGE,LN,NULL,Resid
97060,01/20/2006,503,SE,12TH,ST,NULL,Resid
97060,01/20/2006,2062,SW,STURGES,LN,NULL,Resid
97230,01/20/2006,15717,NE,KNOTT,ST,NULL,Resid
97236,01/20/2006,3031,SE,150TH,AVE,NULL,Resid
97211,01/22/2006,5276,NE,26TH,AVE,NULL,Resid
97210,01/23/2006,3432,NW,THURMAN,ST,NULL,Resid
97206,01/24/2006,5111,SE,CLINTON,ST,NULL,Resid
97217,01/24/2006,2265,N,DEKUM,ST,NULL,Resid
97203,01/25/2006,7311,N,POLK,AVE,NULL,Resid
97217,01/25/2006,265,N,STAFFORD,ST,NULL,Resid
97214,01/26/2006,2916,SE,SHERMAN,ST,NULL,Resid
97203,01/27/2006,7459,N,HURON,AVE,NULL,Resid
97206,01/27/2006,7820,SE,RAMONA,ST,NULL,Resid
97215,01/27/2006,1262,SE,49TH,AVE,NULL,Resid
97236,01/27/2006,12510,SE,SCHILLER,ST,NULL,Resid
97202,01/30/2006,1522,SE,LINN,ST,NULL,Resid
97206,01/30/2006,8164,SE,52ND,AVE,NULL,Resid
97206,01/30/2006,2903,SE,76TH,AVE,NULL,Resid
97212,01/30/2006,2614,NE,24TH,AVE,NULL,Resid
97218,01/30/2006,4928,NE,ROSELAWN,ST,NULL,Resid
97229,01/30/2006,2681,NW,PRESTON,CT,NULL,Resid
97236,01/30/2006,5928,SE,136TH,AVE,NULL,Resid
97024,01/31/2006,2241,NE,205TH,AVE,NULL,Resid
