search_id,street_no,street_dir,street,street_typ,unit_no,zip,results_num,possible_matches_num
1,23586,NW,St Helens Rd,,L-20,97231,0,0
2,8333,SE,HARNEY,ST,,97266,3,2
3,3913,NE,Hancock,ST,301,97212,12,1
4,3271,SE,87TH,AVE,,97266,1,1
5,1926,W,Burnside,,911,97209,265,1
6,841,SW,Gaines,ST,702,97239,220,1
7,1245,NW,PARK RIDGE,LN,,97229,0,0
8,15723,NE,BEECH,ST,3A,97230,3,1
9,4621,SW,CALDEW,ST,B,97219,4,1
10,4129,SE,Division,ST,,97202,1,1
11,1920,SW,RIVER,DR,J-905,97201,83,0
12,2017,NW,IRVING,ST,,97209,1,1
13,3570,SW,RIVER,PKWY,2001,97239,151,1
14,2129,NE,Clackamas,ST,1,97232,2,1
15,4652,SW,COMUS,PL,,97219,1,1
16,5400,NE,30TH,AVE,206,97211,20,1
17,20,NW,16TH,AVE,204,97209,73,1
18,3847,SW,CANBY,ST,,97219,1,1
19,16000,SE,POWELL,BLVD,9,97236,158,3
20,7519,SW,33RD,AVE,,97219,0,0
21,1327,SE,182 ND,AVE,,97233,0,0
22,6312,SE,84TH,PL,,97266,0,0
23,319,SE,146TH,AVE,,97233,1,1
24,1717,SW,RADCLIFFE,RD,,97219,1,1
25,,,9620 N Lombard,,,97203,0,0
26,714,NW,WESTOVER,CIR,,97210,2,1
27,1926,W,Burnside (PAID HOA),,603,97209,0,0
28,4830,SE,STARK,ST,2,97215,11,1
29,1926,W,Burnside,,1308,97209,265,1
30,7534,N,FOWLER,AVE,,97217,2,2
31,5250,SW,LANDING,DR,3A,97239,47,0
32,2250,NE,Flanders Unit 3,ST,3,97232,0,0
33,5239,SE,109TH,AVE,,97266,2,2
34,606,NW,NAITO,PKWY,A8,97209,25,1
35,900,NE,FRANCIS,AVE,58,97030,165,2
36,836,SW,CURRY,ST,500,97239,91,1
37,3230,SE,153RD,AVE,,97236,1,1
38,3601,SW,River,PKWY,1604,97239,314,1
39,11531,NE,PRESCOTT,ST,,97220,2,2
40,17185,SE,ALDER,ST,,97233,1,1
41,2533,NW,MARSHALL,ST,201,97210,22,1
42,15711,NE,BEECH,ST,5E,97230,7,1
43,3945,SE,KELLY,ST,,97202,0,0
44,3601,SW,RIVER,PKWY,1511,97239,314,1
45,3601,SW,River,PKWY,2306,97239,314,1
46,1030,NW,12TH,AVE,532,97209,178,1
47,19609,NE,Marine,DR,L21,97230,194,2
48,333,NW,9TH,AVE,1407,97209,185,1
49,6864,NE,CLAREMONT,AVE,,97211,1,1
50,5810,NE,23rd,AVE,,97211,1,1
51,6504,SE,FOSTER,RD,,97206,2,1
52,2129,NW,NORTHRUP,ST,11,97210,16,1
53,1949,SE,PALMQUIST,RD,76,97080,245,3
54,1509,NE,10TH,AVE,305,97232,30,1
55,21831,NE,179A HEARTWOOD,CIR,179-A,97024,0,0
56,1823,SE,122nd,,,97216,2,0
57,4280,SW,Corbett,AVE,202,97239,24,3
58,3655,SE,91ST,AVE,,97266,1,0
59,1830,NW,RIVERSCAPE,ST,109,97209,79,0
60,1461,SW,EDGEFIELD MEADOWS,TER,,97060,1,1
61,9256,N,Chase,,,97203,1,0
62,2351,NW,WESTOVER,RD,804,97210,112,1
63,841,SW,GAINES,ST,1404,97239,220,1
64,2211,SW,1ST,AVE,1803,97201,97,1
65,9221,N,LOMBARD,ST,17,97203,20,1
66,14955,NE,SACRAMENTO,ST,39,97230,8,1
67,15510,NE,KNOTT,ST,15,97230,28,1
68,559,N,HAYDEN BAY,DR,,97217,1,1
69,1332,SE,84th,AVE,,97216,1,1
70,2138,NW,Village Circle,,,97229,0,0
71,1500,SW,PARK,AVE,406,97201,110,1
72,4633,SE,HONORS,PL,,97080,1,0
